name,status,observed,expected,detail
PAIR_2016_West_SW: historical 213/438 resolver sanity,PASS,"{'direct': 213, 'translated': 438}","{'direct': 213, 'translated': 438}","If this warns but absent=0, inspect manifest/version before calling it an error."
PAIR_2016_West_SW: no target-derived feature names,PASS,[],[],
PAIR_2016_West_SW: lag1 feature count,PASS,73,73,
PAIR_2016_West_SW: rolling feature count,PASS,438,438,
PAIR_2016_West_SW: total temporal derivatives,PASS,511,511,
PAIR_2016_West_SW: infinite feature values,PASS,0,0,
PAIR_2016_West_SW: raw feature NaN cells,WARN,149722,0,Raw trainable shards may legitimately contain missing values; production preprocessing must handle them consistently.
PAIR_2016_West_SW: all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],Investigate whether these are structurally unavailable in this block or accidentally lost.
PAIR_2016_West_SW: constant/all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],"Constant columns are diagnostic warnings, not automatically corruption."
PAIR_2017_Central: required key columns,PASS,[],none missing,Missing keys prevent a valid training block.
PAIR_2017_Central: year identity,PASS,[2017],[2017],
PAIR_2017_Central: region identity,PASS,['Central'],['Central'],
PAIR_2017_Central: parseable dates,PASS,0,0,
PAIR_2017_Central: date.year == year,PASS,0,0,
PAIR_2017_Central: pair-key identity,PASS,['2017|Central'],"['2017_Central', '2017|Central', 'PAIR_2017_Central']",Accepts common builder spellings such as 2012|Central and PAIR_2012_Central.
PAIR_2017_Central: duplicate cell-days,PASS,0,0,Duplicate spatial-day rows are a hard data-integrity failure.
PAIR_2017_Central: target NaN,PASS,0,0,
PAIR_2017_Central: target finite,PASS,0,0,
PAIR_2017_Central: stored feature width,PASS,651,651,
PAIR_2017_Central: canonical features resolved,PASS,"{'direct': 213, 'translated': 438, 'absent': 0}","{'resolved': 651, 'absent': 0}",Absent examples: []
PAIR_2017_Central: historical 213/438 resolver sanity,PASS,"{'direct': 213, 'translated': 438}","{'direct': 213, 'translated': 438}","If this warns but absent=0, inspect manifest/version before calling it an error."
PAIR_2017_Central: no target-derived feature names,PASS,[],[],
PAIR_2017_Central: lag1 feature count,PASS,73,73,
PAIR_2017_Central: rolling feature count,PASS,438,438,
PAIR_2017_Central: total temporal derivatives,PASS,511,511,
PAIR_2017_Central: infinite feature values,PASS,0,0,
PAIR_2017_Central: raw feature NaN cells,WARN,26355,0,Raw trainable shards may legitimately contain missing values; production preprocessing must handle them consistently.
PAIR_2017_Central: all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],Investigate whether these are structurally unavailable in this block or accidentally lost.
PAIR_2017_Central: constant/all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],"Constant columns are diagnostic warnings, not automatically corruption."
PAIR_2017_East: required key columns,PASS,[],none missing,Missing keys prevent a valid training block.
PAIR_2017_East: year identity,PASS,[2017],[2017],
PAIR_2017_East: region identity,PASS,['East'],['East'],
PAIR_2017_East: parseable dates,PASS,0,0,
PAIR_2017_East: date.year == year,PASS,0,0,
PAIR_2017_East: pair-key identity,PASS,['2017|East'],"['2017_East', '2017|East', 'PAIR_2017_East']",Accepts common builder spellings such as 2012|Central and PAIR_2012_Central.
PAIR_2017_East: duplicate cell-days,PASS,0,0,Duplicate spatial-day rows are a hard data-integrity failure.
PAIR_2017_East: target NaN,PASS,0,0,
PAIR_2017_East: target finite,PASS,0,0,
PAIR_2017_East: stored feature width,PASS,651,651,
PAIR_2017_East: canonical features resolved,PASS,"{'direct': 213, 'translated': 438, 'absent': 0}","{'resolved': 651, 'absent': 0}",Absent examples: []
PAIR_2017_East: historical 213/438 resolver sanity,PASS,"{'direct': 213, 'translated': 438}","{'direct': 213, 'translated': 438}","If this warns but absent=0, inspect manifest/version before calling it an error."
PAIR_2017_East: no target-derived feature names,PASS,[],[],
PAIR_2017_East: lag1 feature count,PASS,73,73,
PAIR_2017_East: rolling feature count,PASS,438,438,
PAIR_2017_East: total temporal derivatives,PASS,511,511,
PAIR_2017_East: infinite feature values,PASS,0,0,
PAIR_2017_East: raw feature NaN cells,WARN,28994,0,Raw trainable shards may legitimately contain missing values; production preprocessing must handle them consistently.
PAIR_2017_East: all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],Investigate whether these are structurally unavailable in this block or accidentally lost.
PAIR_2017_East: constant/all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],"Constant columns are diagnostic warnings, not automatically corruption."
PAIR_2017_North: required key columns,PASS,[],none missing,Missing keys prevent a valid training block.
PAIR_2017_North: year identity,PASS,[2017],[2017],
PAIR_2017_North: region identity,PASS,['North'],['North'],
PAIR_2017_North: parseable dates,PASS,0,0,
PAIR_2017_North: date.year == year,PASS,0,0,
PAIR_2017_North: pair-key identity,PASS,['2017|North'],"['2017_North', '2017|North', 'PAIR_2017_North']",Accepts common builder spellings such as 2012|Central and PAIR_2012_Central.
PAIR_2017_North: duplicate cell-days,PASS,0,0,Duplicate spatial-day rows are a hard data-integrity failure.
PAIR_2017_North: target NaN,PASS,0,0,
PAIR_2017_North: target finite,PASS,0,0,
PAIR_2017_North: stored feature width,PASS,651,651,
PAIR_2017_North: canonical features resolved,PASS,"{'direct': 213, 'translated': 438, 'absent': 0}","{'resolved': 651, 'absent': 0}",Absent examples: []
PAIR_2017_North: historical 213/438 resolver sanity,PASS,"{'direct': 213, 'translated': 438}","{'direct': 213, 'translated': 438}","If this warns but absent=0, inspect manifest/version before calling it an error."
PAIR_2017_North: no target-derived feature names,PASS,[],[],
PAIR_2017_North: lag1 feature count,PASS,73,73,
PAIR_2017_North: rolling feature count,PASS,438,438,
PAIR_2017_North: total temporal derivatives,PASS,511,511,
PAIR_2017_North: infinite feature values,PASS,0,0,
PAIR_2017_North: raw feature NaN cells,WARN,79549,0,Raw trainable shards may legitimately contain missing values; production preprocessing must handle them consistently.
PAIR_2017_North: all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],Investigate whether these are structurally unavailable in this block or accidentally lost.
PAIR_2017_North: constant/all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],"Constant columns are diagnostic warnings, not automatically corruption."
PAIR_2017_Toronto: required key columns,PASS,[],none missing,Missing keys prevent a valid training block.
PAIR_2017_Toronto: year identity,PASS,[2017],[2017],
PAIR_2017_Toronto: region identity,PASS,['Toronto'],['Toronto'],
PAIR_2017_Toronto: parseable dates,PASS,0,0,
PAIR_2017_Toronto: date.year == year,PASS,0,0,
PAIR_2017_Toronto: pair-key identity,PASS,['2017|Toronto'],"['2017_Toronto', '2017|Toronto', 'PAIR_2017_Toronto']",Accepts common builder spellings such as 2012|Central and PAIR_2012_Central.
PAIR_2017_Toronto: duplicate cell-days,PASS,0,0,Duplicate spatial-day rows are a hard data-integrity failure.
PAIR_2017_Toronto: target NaN,PASS,0,0,
PAIR_2017_Toronto: target finite,PASS,0,0,
PAIR_2017_Toronto: stored feature width,PASS,651,651,
PAIR_2017_Toronto: canonical features resolved,PASS,"{'direct': 213, 'translated': 438, 'absent': 0}","{'resolved': 651, 'absent': 0}",Absent examples: []
PAIR_2017_Toronto: historical 213/438 resolver sanity,PASS,"{'direct': 213, 'translated': 438}","{'direct': 213, 'translated': 438}","If this warns but absent=0, inspect manifest/version before calling it an error."
PAIR_2017_Toronto: no target-derived feature names,PASS,[],[],
PAIR_2017_Toronto: lag1 feature count,PASS,73,73,
PAIR_2017_Toronto: rolling feature count,PASS,438,438,
PAIR_2017_Toronto: total temporal derivatives,PASS,511,511,
PAIR_2017_Toronto: infinite feature values,PASS,0,0,
PAIR_2017_Toronto: raw feature NaN cells,WARN,14171,0,Raw trainable shards may legitimately contain missing values; production preprocessing must handle them consistently.
PAIR_2017_Toronto: all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],Investigate whether these are structurally unavailable in this block or accidentally lost.
PAIR_2017_Toronto: constant/all-NaN features,WARN,"['ca_lc_lc_majority_class', 'burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047', 'aod_obs_flag', 'aod_imputed_flag']",[],"Constant columns are diagnostic warnings, not automatically corruption."
PAIR_2017_West_NH: required key columns,PASS,[],none missing,Missing keys prevent a valid training block.
PAIR_2017_West_NH: year identity,PASS,[2017],[2017],
PAIR_2017_West_NH: region identity,PASS,['West_NH'],['West_NH'],
PAIR_2017_West_NH: parseable dates,PASS,0,0,
PAIR_2017_West_NH: date.year == year,PASS,0,0,
PAIR_2017_West_NH: pair-key identity,PASS,['2017|West_NH'],"['2017_West_NH', '2017|West_NH', 'PAIR_2017_West_NH']",Accepts common builder spellings such as 2012|Central and PAIR_2012_Central.
PAIR_2017_West_NH: duplicate cell-days,PASS,0,0,Duplicate spatial-day rows are a hard data-integrity failure.
PAIR_2017_West_NH: target NaN,PASS,0,0,
PAIR_2017_West_NH: target finite,PASS,0,0,
PAIR_2017_West_NH: stored feature width,PASS,651,651,
PAIR_2017_West_NH: canonical features resolved,PASS,"{'direct': 213, 'translated': 438, 'absent': 0}","{'resolved': 651, 'absent': 0}",Absent examples: []
PAIR_2017_West_NH: historical 213/438 resolver sanity,PASS,"{'direct': 213, 'translated': 438}","{'direct': 213, 'translated': 438}","If this warns but absent=0, inspect manifest/version before calling it an error."
PAIR_2017_West_NH: no target-derived feature names,PASS,[],[],
PAIR_2017_West_NH: lag1 feature count,PASS,73,73,
PAIR_2017_West_NH: rolling feature count,PASS,438,438,
PAIR_2017_West_NH: total temporal derivatives,PASS,511,511,
PAIR_2017_West_NH: infinite feature values,PASS,0,0,
PAIR_2017_West_NH: raw feature NaN cells,WARN,115660,0,Raw trainable shards may legitimately contain missing values; production preprocessing must handle them consistently.
PAIR_2017_West_NH: all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],Investigate whether these are structurally unavailable in this block or accidentally lost.
PAIR_2017_West_NH: constant/all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],"Constant columns are diagnostic warnings, not automatically corruption."
PAIR_2017_West_SW: required key columns,PASS,[],none missing,Missing keys prevent a valid training block.
PAIR_2017_West_SW: year identity,PASS,[2017],[2017],
PAIR_2017_West_SW: region identity,PASS,['West_SW'],['West_SW'],
PAIR_2017_West_SW: parseable dates,PASS,0,0,
PAIR_2017_West_SW: date.year == year,PASS,0,0,
PAIR_2017_West_SW: pair-key identity,PASS,['2017|West_SW'],"['2017_West_SW', '2017|West_SW', 'PAIR_2017_West_SW']",Accepts common builder spellings such as 2012|Central and PAIR_2012_Central.
PAIR_2017_West_SW: duplicate cell-days,PASS,0,0,Duplicate spatial-day rows are a hard data-integrity failure.
PAIR_2017_West_SW: target NaN,PASS,0,0,
PAIR_2017_West_SW: target finite,PASS,0,0,
PAIR_2017_West_SW: stored feature width,PASS,651,651,
PAIR_2017_West_SW: canonical features resolved,PASS,"{'direct': 213, 'translated': 438, 'absent': 0}","{'resolved': 651, 'absent': 0}",Absent examples: []
PAIR_2017_West_SW: historical 213/438 resolver sanity,PASS,"{'direct': 213, 'translated': 438}","{'direct': 213, 'translated': 438}","If this warns but absent=0, inspect manifest/version before calling it an error."
PAIR_2017_West_SW: no target-derived feature names,PASS,[],[],
PAIR_2017_West_SW: lag1 feature count,PASS,73,73,
PAIR_2017_West_SW: rolling feature count,PASS,438,438,
PAIR_2017_West_SW: total temporal derivatives,PASS,511,511,
PAIR_2017_West_SW: infinite feature values,PASS,0,0,
PAIR_2017_West_SW: raw feature NaN cells,WARN,201127,0,Raw trainable shards may legitimately contain missing values; production preprocessing must handle them consistently.
PAIR_2017_West_SW: all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],Investigate whether these are structurally unavailable in this block or accidentally lost.
PAIR_2017_West_SW: constant/all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km', 'AOD_047']",[],"Constant columns are diagnostic warnings, not automatically corruption."
PAIR_2018_Central: required key columns,PASS,[],none missing,Missing keys prevent a valid training block.
PAIR_2018_Central: year identity,PASS,[2018],[2018],
PAIR_2018_Central: region identity,PASS,['Central'],['Central'],
PAIR_2018_Central: parseable dates,PASS,0,0,
PAIR_2018_Central: date.year == year,PASS,0,0,
PAIR_2018_Central: pair-key identity,PASS,['2018|Central'],"['2018_Central', '2018|Central', 'PAIR_2018_Central']",Accepts common builder spellings such as 2012|Central and PAIR_2012_Central.
PAIR_2018_Central: duplicate cell-days,PASS,0,0,Duplicate spatial-day rows are a hard data-integrity failure.
PAIR_2018_Central: target NaN,PASS,0,0,
PAIR_2018_Central: target finite,PASS,0,0,
PAIR_2018_Central: stored feature width,PASS,651,651,
PAIR_2018_Central: canonical features resolved,PASS,"{'direct': 213, 'translated': 438, 'absent': 0}","{'resolved': 651, 'absent': 0}",Absent examples: []
PAIR_2018_Central: historical 213/438 resolver sanity,PASS,"{'direct': 213, 'translated': 438}","{'direct': 213, 'translated': 438}","If this warns but absent=0, inspect manifest/version before calling it an error."
PAIR_2018_Central: no target-derived feature names,PASS,[],[],
PAIR_2018_Central: lag1 feature count,PASS,73,73,
PAIR_2018_Central: rolling feature count,PASS,438,438,
PAIR_2018_Central: total temporal derivatives,PASS,511,511,
PAIR_2018_Central: infinite feature values,PASS,0,0,
PAIR_2018_Central: raw feature NaN cells,WARN,28306,0,Raw trainable shards may legitimately contain missing values; production preprocessing must handle them consistently.
PAIR_2018_Central: all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km']",[],Investigate whether these are structurally unavailable in this block or accidentally lost.
PAIR_2018_Central: constant/all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km']",[],"Constant columns are diagnostic warnings, not automatically corruption."
PAIR_2018_East: required key columns,PASS,[],none missing,Missing keys prevent a valid training block.
PAIR_2018_East: year identity,PASS,[2018],[2018],
PAIR_2018_East: region identity,PASS,['East'],['East'],
PAIR_2018_East: parseable dates,PASS,0,0,
PAIR_2018_East: date.year == year,PASS,0,0,
PAIR_2018_East: pair-key identity,PASS,['2018|East'],"['2018_East', '2018|East', 'PAIR_2018_East']",Accepts common builder spellings such as 2012|Central and PAIR_2012_Central.
PAIR_2018_East: duplicate cell-days,PASS,0,0,Duplicate spatial-day rows are a hard data-integrity failure.
PAIR_2018_East: target NaN,PASS,0,0,
PAIR_2018_East: target finite,PASS,0,0,
PAIR_2018_East: stored feature width,PASS,651,651,
PAIR_2018_East: canonical features resolved,PASS,"{'direct': 213, 'translated': 438, 'absent': 0}","{'resolved': 651, 'absent': 0}",Absent examples: []
PAIR_2018_East: historical 213/438 resolver sanity,PASS,"{'direct': 213, 'translated': 438}","{'direct': 213, 'translated': 438}","If this warns but absent=0, inspect manifest/version before calling it an error."
PAIR_2018_East: no target-derived feature names,PASS,[],[],
PAIR_2018_East: lag1 feature count,PASS,73,73,
PAIR_2018_East: rolling feature count,PASS,438,438,
PAIR_2018_East: total temporal derivatives,PASS,511,511,
PAIR_2018_East: infinite feature values,PASS,0,0,
PAIR_2018_East: raw feature NaN cells,WARN,29559,0,Raw trainable shards may legitimately contain missing values; production preprocessing must handle them consistently.
PAIR_2018_East: all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km']",[],Investigate whether these are structurally unavailable in this block or accidentally lost.
PAIR_2018_East: constant/all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km']",[],"Constant columns are diagnostic warnings, not automatically corruption."
PAIR_2018_North: required key columns,PASS,[],none missing,Missing keys prevent a valid training block.
PAIR_2018_North: year identity,PASS,[2018],[2018],
PAIR_2018_North: region identity,PASS,['North'],['North'],
PAIR_2018_North: parseable dates,PASS,0,0,
PAIR_2018_North: date.year == year,PASS,0,0,
PAIR_2018_North: pair-key identity,PASS,['2018|North'],"['2018_North', '2018|North', 'PAIR_2018_North']",Accepts common builder spellings such as 2012|Central and PAIR_2012_Central.
PAIR_2018_North: duplicate cell-days,PASS,0,0,Duplicate spatial-day rows are a hard data-integrity failure.
PAIR_2018_North: target NaN,PASS,0,0,
PAIR_2018_North: target finite,PASS,0,0,
PAIR_2018_North: stored feature width,PASS,651,651,
PAIR_2018_North: canonical features resolved,PASS,"{'direct': 213, 'translated': 438, 'absent': 0}","{'resolved': 651, 'absent': 0}",Absent examples: []
PAIR_2018_North: historical 213/438 resolver sanity,PASS,"{'direct': 213, 'translated': 438}","{'direct': 213, 'translated': 438}","If this warns but absent=0, inspect manifest/version before calling it an error."
PAIR_2018_North: no target-derived feature names,PASS,[],[],
PAIR_2018_North: lag1 feature count,PASS,73,73,
PAIR_2018_North: rolling feature count,PASS,438,438,
PAIR_2018_North: total temporal derivatives,PASS,511,511,
PAIR_2018_North: infinite feature values,PASS,0,0,
PAIR_2018_North: raw feature NaN cells,WARN,79196,0,Raw trainable shards may legitimately contain missing values; production preprocessing must handle them consistently.
PAIR_2018_North: all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km']",[],Investigate whether these are structurally unavailable in this block or accidentally lost.
PAIR_2018_North: constant/all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km']",[],"Constant columns are diagnostic warnings, not automatically corruption."
PAIR_2018_Toronto: required key columns,PASS,[],none missing,Missing keys prevent a valid training block.
PAIR_2018_Toronto: year identity,PASS,[2018],[2018],
PAIR_2018_Toronto: region identity,PASS,['Toronto'],['Toronto'],
PAIR_2018_Toronto: parseable dates,PASS,0,0,
PAIR_2018_Toronto: date.year == year,PASS,0,0,
PAIR_2018_Toronto: pair-key identity,PASS,['2018|Toronto'],"['2018_Toronto', '2018|Toronto', 'PAIR_2018_Toronto']",Accepts common builder spellings such as 2012|Central and PAIR_2012_Central.
PAIR_2018_Toronto: duplicate cell-days,PASS,0,0,Duplicate spatial-day rows are a hard data-integrity failure.
PAIR_2018_Toronto: target NaN,PASS,0,0,
PAIR_2018_Toronto: target finite,PASS,0,0,
PAIR_2018_Toronto: stored feature width,PASS,651,651,
PAIR_2018_Toronto: canonical features resolved,PASS,"{'direct': 213, 'translated': 438, 'absent': 0}","{'resolved': 651, 'absent': 0}",Absent examples: []
PAIR_2018_Toronto: historical 213/438 resolver sanity,PASS,"{'direct': 213, 'translated': 438}","{'direct': 213, 'translated': 438}","If this warns but absent=0, inspect manifest/version before calling it an error."
PAIR_2018_Toronto: no target-derived feature names,PASS,[],[],
PAIR_2018_Toronto: lag1 feature count,PASS,73,73,
PAIR_2018_Toronto: rolling feature count,PASS,438,438,
PAIR_2018_Toronto: total temporal derivatives,PASS,511,511,
PAIR_2018_Toronto: infinite feature values,PASS,0,0,
PAIR_2018_Toronto: raw feature NaN cells,WARN,16225,0,Raw trainable shards may legitimately contain missing values; production preprocessing must handle them consistently.
PAIR_2018_Toronto: all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km']",[],Investigate whether these are structurally unavailable in this block or accidentally lost.
PAIR_2018_Toronto: constant/all-NaN features,WARN,"['ca_lc_lc_majority_class', 'burned_weighted_frac_500km', 'burned_nearest_km_500km']",[],"Constant columns are diagnostic warnings, not automatically corruption."
PAIR_2018_West_NH: required key columns,PASS,[],none missing,Missing keys prevent a valid training block.
PAIR_2018_West_NH: year identity,PASS,[2018],[2018],
PAIR_2018_West_NH: region identity,PASS,['West_NH'],['West_NH'],
PAIR_2018_West_NH: parseable dates,PASS,0,0,
PAIR_2018_West_NH: date.year == year,PASS,0,0,
PAIR_2018_West_NH: pair-key identity,PASS,['2018|West_NH'],"['2018_West_NH', '2018|West_NH', 'PAIR_2018_West_NH']",Accepts common builder spellings such as 2012|Central and PAIR_2012_Central.
PAIR_2018_West_NH: duplicate cell-days,PASS,0,0,Duplicate spatial-day rows are a hard data-integrity failure.
PAIR_2018_West_NH: target NaN,PASS,0,0,
PAIR_2018_West_NH: target finite,PASS,0,0,
PAIR_2018_West_NH: stored feature width,PASS,651,651,
PAIR_2018_West_NH: canonical features resolved,PASS,"{'direct': 213, 'translated': 438, 'absent': 0}","{'resolved': 651, 'absent': 0}",Absent examples: []
PAIR_2018_West_NH: historical 213/438 resolver sanity,PASS,"{'direct': 213, 'translated': 438}","{'direct': 213, 'translated': 438}","If this warns but absent=0, inspect manifest/version before calling it an error."
PAIR_2018_West_NH: no target-derived feature names,PASS,[],[],
PAIR_2018_West_NH: lag1 feature count,PASS,73,73,
PAIR_2018_West_NH: rolling feature count,PASS,438,438,
PAIR_2018_West_NH: total temporal derivatives,PASS,511,511,
PAIR_2018_West_NH: infinite feature values,PASS,0,0,
PAIR_2018_West_NH: raw feature NaN cells,WARN,118154,0,Raw trainable shards may legitimately contain missing values; production preprocessing must handle them consistently.
PAIR_2018_West_NH: all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km']",[],Investigate whether these are structurally unavailable in this block or accidentally lost.
PAIR_2018_West_NH: constant/all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km']",[],"Constant columns are diagnostic warnings, not automatically corruption."
PAIR_2018_West_SW: required key columns,PASS,[],none missing,Missing keys prevent a valid training block.
PAIR_2018_West_SW: year identity,PASS,[2018],[2018],
PAIR_2018_West_SW: region identity,PASS,['West_SW'],['West_SW'],
PAIR_2018_West_SW: parseable dates,PASS,0,0,
PAIR_2018_West_SW: date.year == year,PASS,0,0,
PAIR_2018_West_SW: pair-key identity,PASS,['2018|West_SW'],"['2018_West_SW', '2018|West_SW', 'PAIR_2018_West_SW']",Accepts common builder spellings such as 2012|Central and PAIR_2012_Central.
PAIR_2018_West_SW: duplicate cell-days,PASS,0,0,Duplicate spatial-day rows are a hard data-integrity failure.
PAIR_2018_West_SW: target NaN,PASS,0,0,
PAIR_2018_West_SW: target finite,PASS,0,0,
PAIR_2018_West_SW: stored feature width,PASS,651,651,
PAIR_2018_West_SW: canonical features resolved,PASS,"{'direct': 213, 'translated': 438, 'absent': 0}","{'resolved': 651, 'absent': 0}",Absent examples: []
PAIR_2018_West_SW: historical 213/438 resolver sanity,PASS,"{'direct': 213, 'translated': 438}","{'direct': 213, 'translated': 438}","If this warns but absent=0, inspect manifest/version before calling it an error."
PAIR_2018_West_SW: no target-derived feature names,PASS,[],[],
PAIR_2018_West_SW: lag1 feature count,PASS,73,73,
PAIR_2018_West_SW: rolling feature count,PASS,438,438,
PAIR_2018_West_SW: total temporal derivatives,PASS,511,511,
PAIR_2018_West_SW: infinite feature values,PASS,0,0,
PAIR_2018_West_SW: raw feature NaN cells,WARN,226473,0,Raw trainable shards may legitimately contain missing values; production preprocessing must handle them consistently.
PAIR_2018_West_SW: all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km']",[],Investigate whether these are structurally unavailable in this block or accidentally lost.
PAIR_2018_West_SW: constant/all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km']",[],"Constant columns are diagnostic warnings, not automatically corruption."
PAIR_2019_Central: required key columns,PASS,[],none missing,Missing keys prevent a valid training block.
PAIR_2019_Central: year identity,PASS,[2019],[2019],
PAIR_2019_Central: region identity,PASS,['Central'],['Central'],
PAIR_2019_Central: parseable dates,PASS,0,0,
PAIR_2019_Central: date.year == year,PASS,0,0,
PAIR_2019_Central: pair-key identity,PASS,['2019|Central'],"['2019_Central', '2019|Central', 'PAIR_2019_Central']",Accepts common builder spellings such as 2012|Central and PAIR_2012_Central.
PAIR_2019_Central: duplicate cell-days,PASS,0,0,Duplicate spatial-day rows are a hard data-integrity failure.
PAIR_2019_Central: target NaN,PASS,0,0,
PAIR_2019_Central: target finite,PASS,0,0,
PAIR_2019_Central: stored feature width,PASS,651,651,
PAIR_2019_Central: canonical features resolved,PASS,"{'direct': 213, 'translated': 438, 'absent': 0}","{'resolved': 651, 'absent': 0}",Absent examples: []
PAIR_2019_Central: historical 213/438 resolver sanity,PASS,"{'direct': 213, 'translated': 438}","{'direct': 213, 'translated': 438}","If this warns but absent=0, inspect manifest/version before calling it an error."
PAIR_2019_Central: no target-derived feature names,PASS,[],[],
PAIR_2019_Central: lag1 feature count,PASS,73,73,
PAIR_2019_Central: rolling feature count,PASS,438,438,
PAIR_2019_Central: total temporal derivatives,PASS,511,511,
PAIR_2019_Central: infinite feature values,PASS,0,0,
PAIR_2019_Central: raw feature NaN cells,WARN,30143,0,Raw trainable shards may legitimately contain missing values; production preprocessing must handle them consistently.
PAIR_2019_Central: all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km']",[],Investigate whether these are structurally unavailable in this block or accidentally lost.
PAIR_2019_Central: constant/all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km']",[],"Constant columns are diagnostic warnings, not automatically corruption."
PAIR_2019_East: required key columns,PASS,[],none missing,Missing keys prevent a valid training block.
PAIR_2019_East: year identity,PASS,[2019],[2019],
PAIR_2019_East: region identity,PASS,['East'],['East'],
PAIR_2019_East: parseable dates,PASS,0,0,
PAIR_2019_East: date.year == year,PASS,0,0,
PAIR_2019_East: pair-key identity,PASS,['2019|East'],"['2019_East', '2019|East', 'PAIR_2019_East']",Accepts common builder spellings such as 2012|Central and PAIR_2012_Central.
PAIR_2019_East: duplicate cell-days,PASS,0,0,Duplicate spatial-day rows are a hard data-integrity failure.
PAIR_2019_East: target NaN,PASS,0,0,
PAIR_2019_East: target finite,PASS,0,0,
PAIR_2019_East: stored feature width,PASS,651,651,
PAIR_2019_East: canonical features resolved,PASS,"{'direct': 213, 'translated': 438, 'absent': 0}","{'resolved': 651, 'absent': 0}",Absent examples: []
PAIR_2019_East: historical 213/438 resolver sanity,PASS,"{'direct': 213, 'translated': 438}","{'direct': 213, 'translated': 438}","If this warns but absent=0, inspect manifest/version before calling it an error."
PAIR_2019_East: no target-derived feature names,PASS,[],[],
PAIR_2019_East: lag1 feature count,PASS,73,73,
PAIR_2019_East: rolling feature count,PASS,438,438,
PAIR_2019_East: total temporal derivatives,PASS,511,511,
PAIR_2019_East: infinite feature values,PASS,0,0,
PAIR_2019_East: raw feature NaN cells,WARN,28345,0,Raw trainable shards may legitimately contain missing values; production preprocessing must handle them consistently.
PAIR_2019_East: all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km']",[],Investigate whether these are structurally unavailable in this block or accidentally lost.
PAIR_2019_East: constant/all-NaN features,WARN,"['burned_weighted_frac_500km', 'burned_nearest_km_500km']",[],"Constant columns are diagnostic warnings, not automatically corruption."
PAIR_2019_North: required key columns,PASS,[],none missing,Missing keys prevent a valid training block.
PAIR_2019_North: year identity,PASS,[2019],[2019],
PAIR_2019_North: region identity,PASS,['North'],['North'],
PAIR_2019_North: parseable dates,PASS,0,0,
PAIR_2019_North: date.year == year,PASS,0,0,
PAIR_2019_North: pair-key identity,PASS,['2019|North'],"['2019_North', '2019|North', 'PAIR_2019_North']",Accepts common builder spellings such as 2012|Central and PAIR_2012_Central.
PAIR_2019_North: duplicate cell-days,PASS,0,0,Duplicate spatial-day rows are a hard data-integrity failure.
PAIR_2019_North: target NaN,PASS,0,0,
PAIR_2019_North: target finite,PASS,0,0,
PAIR_2019_North: stored feature width,PASS,651,651,
PAIR_2019_North: canonical features resolved,PASS,"{'direct': 213, 'translated': 438, 'absent': 0}","{'resolved': 651, 'absent': 0}",Absent examples: []
PAIR_2019_North: historical 213/438 resolver sanity,PASS,"{'direct': 213, 'translated': 438}","{'direct': 213, 'translated': 438}","If this warns but absent=0, inspect manifest/version before calling it an error."
PAIR_2019_North: no target-derived feature names,PASS,[],[],
